CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Ananda Karki,0.03513192867867098,32,0.10255113496854436,0.3967649244190585
Anita Bhattarai,0.030685816391937785,18,0.07748121897247276,0.38323394192915367
Archana Bhattarai,0.03249610058430586,32,0.08026820187111607,0.38896589783495855
Arjun Basu,0.028344150632801494,24,0.04897695896665511,0.37529595602338023
Bal Krishna Thapa,0.03419236074091253,32,0.09480595868627616,0.3940541127202646
Bikram Thapa,0.03270565793220825,32,0.08210476994823279,0.38960869666194947
Devkumari Sah,0.028045443245915864,14,0.05565712199056315,0.3742365045879768
Janmadev Jaisi,0.030382750767392018,13,0.07949894463487595,0.38224139166410914
Januka Pathak,0.030388809002173157,26,0.06693659231561838,0.38226132939427165
Jit Ram Lama,0.03103624022814137,32,0.06713547649739364,0.38436944395415573
Kabir Rana,0.03128603277728813,32,0.06942581921095121,0.3851710639039008
Laxmi Bastola Poudel,0.03330624997901834,31,0.08827462324564472,0.3914283944666664
Lok Krishna Dahal,0.02405339543851297,14,0.011785693823396495,0.35888150472946845
Madhu Prakash Sahukhal,0.03183155715423532,30,0.07630622413726006,0.38689970392935474
Mahesh Basnet,0.025611835418512814,27,0.017103061310165178,0.36515934439174014
Manoj Lama,0.032686167552629694,32,0.08193445263400602,0.38954908560197005
Nabin Kumar Mahat,0.031994632347850605,29,0.07873693757559459,0.3874107027833947
Nabin Shrestha,0.03131566864129253,29,0.07260848564934332,0.38526574460920676
Om Krishna Kutu,0.033893411624749153,24,0.10006266357975391,0.39317595263796484
Pemba Ghale,0.03451294214160556,31,0.09844300090228539,0.39498732664649067
Pradip Kumar Rupakheti,0.03250020116402853,32,0.08030425297484074,0.38897851572126224
Prakash Raj Dhungel,0.030815603121864488,32,0.06509707514354056,0.3836560034803071
Rajesh Bade,0.02630941082533279,19,0.03254654802558307,0.3678465579471194
Rajiv Khatri,0.031675137049433394,32,0.07295733124830348,0.38640709311697413
Rakesh Shrestha,0.030062354428183887,20,0.0696749754019337,0.38118125837821926
Ram Prasad Sapkota,0.031126090113979044,32,0.06796142409909822,0.38465852561475233
Ramesh Baidya,0.03655709856794649,32,0.11391256829620829,0.40074142608374086
Renu Shrestha,0.03629503721752442,30,0.11379846844977398,0.40002198943873457
Sabin Mahat,0.02853255453027741,28,0.0469869542901536,0.3759584577841132
Sajan Dhakal,0.030326832658467827,30,0.06247043152555468,0.38205717651525783
Shyam Krishna Dhukhwa,0.033249194962444495,32,0.08681404616741208,0.3912569433386622
Suwarna Thapa,0.028649334080362878,30,0.046212520869383315,0.37636690778559784
