CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Ashim Ghimire,0.045438991114866704,29,0.09870893378600272,0.3975720789209093
Devi Kumari Magar,0.044075571984761745,29,0.09000468639855987,0.3945255923353043
Devi Sharma,0.04441477117544502,32,0.08834564028938995,0.3952922315863164
Dirshana Kumari Shahi,0.04266850444091405,29,0.08073478394862132,0.39128112647782576
Indra Bahadur Syangtan,0.04394053330828611,26,0.09297741560884618,0.3942187421696829
Jagadishwar Adhikari,0.04255618549754491,26,0.08383113288680126,0.39101754321696724
Kaman Singh Chaudhary,0.04364012288171257,31,0.08460161071420265,0.3935327194385937
Krishna Prasad Chapagai,0.042836045771893795,32,0.07800502338462707,0.39167301566964935
Milan Thapa Magar,0.038718730502864195,18,0.06709581986812684,0.38156736928917373
Mina Kumari Kharel,0.04126991494345191,22,0.08019474434158852,0.387948400040514
Ni. Kumar Pakhrin,0.04594127694725288,29,0.10184991129014731,0.3986714210473599
Nirmala Kumari Thakur,0.03894423218298016,32,0.05079094900800177,0.38214808963783053
Prabin Sapkota,0.04679546401133064,32,0.1032639766176001,0.40051364930118993
Prakash Bahadur Pandey,0.04751937664504167,26,0.11534894508111329,0.40204877748497647
Pratap Gurung,0.04754125490689798,32,0.10778157177641248,0.4020948076067743
Pratap Singh Tamang,0.0419732325888896,32,0.07219135387630563,0.3896382313417369
Rabi Kumal,0.042009274496128776,32,0.07243658800356012,0.389724063286276
Rabi Lamichhane,0.03767455911578811,32,0.04132076711789909,0.37883352597629455
Risha Gole,0.04733522228691895,32,0.1065406623934639,0.4016604893227423
Shakti Raj Gurung,0.04153944353770045,26,0.07692204945552324,0.3885993640160199
Shanku Prasad Jaisi,0.044312721863693776,32,0.08768841538485332,0.3950622028697286
Shobha Basukala,0.04653442665552208,32,0.10166572560479807,0.39995426144670926
Subas Mahato,0.04232014314011392,25,0.08352512525451336,0.39046133874925926
