CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Akash Rana Magar,0.08804642069572223,30,0.07853462513477658,0.4085216015557924
Dev Bahadur Thapa,0.07415352861304576,25,0.04424822787217709,0.39134894872077924
Hari Raj Adhikari,0.07837877031070611,14,0.09259352853829038,0.3968904936090913
Jit Bahadur Ghale,0.08672301592623216,32,0.06829618980922714,0.40700711470909157
Kavita Bhattarai,0.07613317808479442,20,0.0665541229937857,0.3939835982202387
Kedar Mani Khanal,0.0915473961880824,31,0.08671971610906312,0.41242086615541346
Manu Kumari Shrestha,0.09554573741144987,24,0.11962315108596776,0.4166956890869853
Prem Kumar Khatri,0.08168920747511811,30,0.05712254238950268,0.40102737259494664
Ram Chandra Lamichhane,0.07669290317038897,23,0.05977999278661447,0.3947161009235909
Ramkaji Rana Magar,0.09357452918488934,25,0.11071124713142887,0.4146110054615173
Sudhan Gurung,0.07163779520663774,14,0.06689915621688884,0.3878974632966007
Vishnu Prasad Rijal,0.08587751773293287,22,0.09505362687197087,0.40602739009484495
