CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Amrit Rasaili,0.04191254817874769,32,0.07144611538219685,0.3903661403837688
Amritlal Mahato,0.04366145049795574,30,0.08586906162590878,0.3944541715690681
Arjun Sapkota,0.04468765490748497,32,0.08976383698502124,0.3967773429447574
Balendra Shah,0.038999139130509085,27,0.0577187756707101,0.3831615714847485
Bipul Guragain,0.03963069416491552,14,0.08013716163838357,0.3847680065734342
Dabwar Shahu,0.04110540183459795,32,0.06589019625791835,0.3884215686902714
Dharmraj Guragain,0.04627102067614375,26,0.1079405726708734,0.4002592004348056
Dhiren Subba,0.036763110176381036,17,0.054563155449702236,0.37725710440739574
K.P. Sharma Oli,0.041937876154173395,32,0.07161872189397073,0.3904265526628897
Khemnath Shivakoti,0.0421483363200674,32,0.07304895878457279,0.39092713557460046
Laxmi Prasad Sangroula,0.035124638494235166,26,0.029193993760008922,0.3726978978160031
Mandhara Chimariya,0.04009339292481284,31,0.060139342373765184,0.3859287698308178
Matrika Bhattarai,0.03683768905017628,26,0.04279932074063613,0.3774597622592226
Padam Bahadur Javegu,0.036851125091640534,14,0.05936065496188314,0.3774962292366591
Prakash Nepal,0.04461081991458055,22,0.10298644889240696,0.39660525711234246
Puskar Khatiwada,0.04266280160358037,29,0.08062957893436835,0.39214035262702884
Ranjana Gautam,0.04361188968179743,32,0.0828017013832256,0.3943405954841289
Ranjit Tamang,0.04199509596520409,32,0.07200828322028233,0.3905628991270988
Samir Tamang,0.05394236148231683,20,0.15999778259704747,0.41559922390896664
San Bahadur Meche,0.039826533938903154,29,0.06097414702196923,0.3852609514576892
Sanjay Rai,0.04067681547162838,28,0.06838126521312479,0.3873734428245937
Savin Rai,0.04592808086259901,22,0.11130081601151685,0.3995152856040309
Shobha Bhandari,0.04253108812103559,14,0.10031755321841626,0.39183114362644567
Sushant Sampang Rai,0.038190435356513376,26,0.05310321241777032,0.3810661243462196
