CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Arjun Bahadur Shahi,0.0341714589504933,26,0.08552098808708146,0.38940986709414804
Asim Man Singh Basnyat,0.03252385752637117,31,0.06619445474324157,0.38446818066681737
Dhanraj Shahi,0.03314776798374006,32,0.07058196483034786,0.38636832924590725
Indra Prasad Shrestha,0.03206131878701306,27,0.06626793630857772,0.38303581902027434
Kamal Koirala,0.03540212806793099,20,0.10187880926483714,0.3929479842147464
Kamal Subedi,0.03373527697547047,28,0.07976753704795368,0.38812519932765854
Kiran Shah,0.028849303766803523,25,0.03818964472773392,0.37247937686977367
Kumar Shahi,0.03423556599243682,32,0.07980758238626631,0.3895972953904787
Kushal Khatri,0.03709298381455099,25,0.11000163799103796,0.3976135745119301
Mang Lal Shrestha,0.030699423153969008,19,0.062197989802964704,0.37869517735448843
Menuka Bhandari,0.032741030532038945,32,0.06705444029549577,0.38513369565870903
Mohan Raj Regmi,0.03207750666263463,26,0.06745364393025069,0.38308629663925725
Prabal Thapa Chhetri,0.033326740489181904,26,0.07836936819940178,0.3869068001334601
Prakash Naiju,0.03211469100380743,27,0.0667431671109848,0.38320214980111683
Rabindra Mishra,0.03160403745219879,29,0.06008056420355058,0.38159927888072026
Raj Kumar Bajgai,0.03518507526398906,31,0.08866533952677375,0.3923329903410537
Raj Kumar Limbu,0.03425124059629806,30,0.08202133718926367,0.3896430694743225
Raju Bhujel,0.03731945338319476,27,0.1096577785422471,0.3982222638020586
Ramesh Prasad Joshi,0.036761072846334134,32,0.10014313587600043,0.3967147391118856
Ramila Jyakhwa (Suwal),0.029391785663608463,19,0.049761238792905414,0.37434231450096767
Ranju Darshana Nyaupane,0.038084224830375935,32,0.11024618379809598,0.4002508058846191
Sabin Sigdel,0.03226463112846112,32,0.06286660346032867,0.38366795276640053
Sagar Joshi,0.038739075109693315,32,0.1151172219269153,0.4019556692297058
Samir Lama Tamang,0.03974031201250978,31,0.12344936636393623,0.4045073997340605
Sangit Bam,0.033500718212450604,30,0.075691077742655,0.3874274786680094
Shambhu Pokharel,0.03532713176466637,29,0.09189953392895471,0.3927359182846117
Shanti Shrestha,0.038218840597928856,29,0.11437877091460422,0.400603651229589
Surendra Pandey,0.03798319475394316,32,0.10948723198259654,0.3999851727491943
Surendra Prasad Dhakal,0.039450152677905546,32,0.12031411737004866,0.4037745826348025
