CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Anju Karanjit (Thapa),0.04994363555367515,27,0.05759252457668671,0.38561539886901586
Ashoj Kumar Maharjan,0.049002101387343726,24,0.05706214587170922,0.3837122090703654
Bimarsha Mishra,0.04995806044068942,22,0.06585387766944927,0.3856442770316355
Dil Kumar Maharjan,0.04869722495972768,24,0.05527896400641436,0.3830880954175122
Jitendra Kumar Shrestha,0.05411548918317113,32,0.07233521502543387,0.3936379359459248
Khagendra Maharjan,0.04740997272641571,16,0.06071098750417883,0.3804091509699741
Krishna Devi Maharjan,0.05738002440640018,27,0.09724999750993575,0.399495514395653
Nil Govind Maharjan,0.04751750335800418,25,0.04663636342167534,0.380635704296823
Radhe Shyam Khadka,0.046493135136456074,20,0.04858850328095539,0.3784563578277237
Raj Kaji Maharjan,0.05463415267829737,29,0.07996787652483052,0.3945918102188052
Ramila Maharjan,0.05144729307270762,32,0.05788875694484419,0.3885816756177184
Rituvartana Rai,0.04862914030378516,26,0.051607683478276496,0.3829481854006029
Rupesh Shah,0.0521420790828315,31,0.06335722135508016,0.38992311907733146
Sabin Kumar Khadka,0.04646521635473248,25,0.04023803838781931,0.37839629053497337
Sandan Thapa Magar,0.0483926935021952,32,0.04040046937565292,0.38246077496850145
Shyam Bahadur Rai,0.05064220272338208,30,0.05665384498651159,0.387004418264363
Tosima Karki,0.0498409637786647,24,0.06191186847122624,0.38540961198019635
Vijay Pant,0.05034269083213566,30,0.054959035515875936,0.3864112349496405
Vishnu Raj Khadka,0.04735646387937321,22,0.050573723617807605,0.3802962231135609
Yagya Prasad Pant,0.049589956640011916,26,0.05719779210159848,0.3849047234187656
