CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Chandra Prasad Shahi,0.09398677421515601,28,0.07526766570670665,0.4051108062850185
Dharm Kumar Budha,0.09420038990331528,31,0.06711004580226544,0.40533783109928606
Juddh Bahadur Budha Magar,0.10309537523443521,32,0.0899546857032141,0.414360852324892
Jyoti Roka Magar,0.0808536247890382,20,0.055747130510969564,0.39005944088431876
Kusum Devi Thapa,0.09487703739879093,32,0.06621959344991632,0.4060535700362378
Lakhan Kumar Thapa,0.09579068635486415,32,0.06895780788665021,0.40701194508909466
Lilamani Gautam,0.08738285078127417,28,0.05445194443797212,0.39782530384096143
Pushpa Kamal Dahal Prachanda,0.08883496942804758,18,0.0885151016609975,0.3994734362662806
Roshan Shah,0.09260149999846172,26,0.07689601224436934,0.40362593305265254
Sandip Pun,0.08381610316961192,22,0.060157641146761635,0.393657914127394
Sir Bahadur Budha,0.0845606887270049,23,0.05974917337600792,0.3945423476679041
