CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Ajay Ojha,0.025436629577674053,24,0.07036999588196045,0.3810638149125735
Ambuj Prasad Sah,0.026941365688347558,32,0.08066282379042519,0.38681107679849863
Amit Ranjan Singh,0.024807315746507613,32,0.057084462661459875,0.3785586504033608
Amnish Kumar Yadav,0.028239679578056846,24,0.10023794492022169,0.391517597075965
Amresh Kumar Singh,0.02429366705779782,26,0.055702432064681735,0.37646636060601657
Arvind Kumar Thakur,0.025649788692448404,18,0.07735024725788144,0.38189832380567407
Chhotelal Kumar Yadav,0.026623027240417853,31,0.07803271772625459,0.3856224431612936
Chun Chun Bhandari,0.026296472932444456,22,0.08140042642824835,0.3843882725742837
Dhiraj Thakur,0.02452332462812395,29,0.05609274445952397,0.37740725948844733
Gagan Kumar Thapa,0.022384472680465242,22,0.03538120169464163,0.36828154391752127
Ganesh Prasad Singh,0.023701771444764774,14,0.05784690924954924,0.37399976944377655
Gyanendra Prasad Kushwaha,0.030762969896573063,25,0.12392441899408027,0.4000759595165608
Harinandan Kumar Ranjan,0.02364777298021027,32,0.04340741846542939,0.3737716849347501
Jay Shankar Singh Kushwaha,0.02630809939935487,32,0.07386682102639908,0.3844324758310895
Kamlesh Mandal,0.026886934413416157,29,0.08238296410948663,0.38660883636593424
Lakhendra Mahato,0.028821119245930997,32,0.09993298440586702,0.3935556330139033
Madhumala Kumari Yadav,0.02607559799728161,32,0.07133055835167379,0.3835447838949357
Mahesh Mandal Dhanuk,0.027133271156734126,32,0.08269077505242121,0.3875208597401973
Mukesh Prasad Kushwaha,0.02896278453469046,32,0.10133392394903504,0.3940459618540121
Narendra Prasad Singh,0.02584976040770006,32,0.06884524349060805,0.3826749236935627
Nilesh Kumar Yadav,0.02788182933486638,32,0.09046634805709589,0.3902423102918334
Pitambar Singh Kushwaha,0.02444948235043312,29,0.055231131212645376,0.3771056948520398
Pradip Kumar Jha,0.023822463255974265,32,0.04551028277060525,0.3745076874415617
Rajnish Raya,0.024886616365786325,31,0.05876232818066603,0.3788778068203376
Rakesh Kumar Mishra,0.026172030017499178,32,0.07238522965863105,0.38391391885237075
Ram Pravesh Yadav,0.02968916406164309,32,0.10841118648378759,0.3965230037411755
Raman Mishra,0.027310421298951598,32,0.08455010907956455,0.38817162664969745
Ramcharitra Sahani,0.02779613362938926,32,0.08958684366039592,0.3899344837529884
Rameshwar Raya Yadav,0.028851005172301592,32,0.10022910101181313,0.39365927382598437
Ramnath Prasad Sah,0.02740776762037926,32,0.08556670939423394,0.38852743675983176
Rinki Kumari Sah,0.024509580270253163,31,0.05440058787735442,0.3773511977141786
Sachitra Sahani,0.02710186389936015,29,0.08465783411532056,0.3874050408679761
Sanjiv Kumar Paswan,0.0249770260598658,32,0.05903241846542939,0.3792404349347501
Santosh Kumar Nishad,0.025021674699311932,32,0.0595427020257898,0.37941903418087625
Shiv Prasad Sah,0.027254007498690388,31,0.08472530270929302,0.38796484790535707
Shulpani Jha,0.02817787831200088,32,0.09348406655485095,0.39129851176604763
Uday Kant Mishra,0.025199930518560672,32,0.061570930622906535,0.38012891418986716
Vikram Yadav,0.026145300335792678,32,0.07209327850099062,0.3838117359471966
