CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Bhagwati Nyaupane,0.06101625395524438,14,0.09903243137418487,0.3944287928414298
Chija Maya Adhikari,0.0667184480361377,32,0.08867809269405871,0.4033629138382694
Deepak Raj Joshi,0.06012595925446374,26,0.07091256435703909,0.3929589324086846
Govind Bhattarai,0.06225124570718,26,0.08083738260562824,0.39643261879569086
Kashiram Gurung,0.06420673254510446,32,0.07771425742855255,0.39952557149534224
Lekh Nath Khanal,0.0683445145698789,29,0.10153810428378679,0.4057708946388603
Manjil Rana,0.06647743827919057,32,0.08764412674192497,0.40300102575502256
Om Vikram Pant,0.0640442838943962,32,0.07699045926596541,0.3992722421384367
Prem Bahadur Thapa,0.05704520493689605,18,0.07183150534084469,0.38769916640417934
Ram Lakshmi Duwal,0.05952189075246195,28,0.06404084598211641,0.3919491798146709
Ramdatta Joshi,0.057139746288571665,20,0.06831791838623698,0.38786475980727597
Sandesh Ranabhat Laudari,0.06072924883624729,24,0.0777517776892467,0.39395730823774794
Suman Thapa Magar,0.059048185180738295,22,0.07371802226485123,0.39115014500200024
Swarnim Wagle,0.06069124768187797,32,0.06162609297506389,0.3938947139366212
Vidya Nath Dhakal,0.066942109255852,32,0.08963429498099762,0.403697584638698
Yam Bahadur Ale,0.06569749082575878,31,0.08626551573058654,0.40182083748244946
