Text,Publish Time,Reactions,Comments,Shares,Media,Key,Scraped At
Balen Shah को नागरिकता रद्द गर्न माग गर्दै Yubaraj Saphal ले गृह मन्त्रालयमा उजुरी दिएका छन्। 444 24 Like Comment View more comments Abhishek Dev Balen is Branded Real Hero of Nepal View all 11 replies,,See who reacted to this,"Abhishek Dev
Balen is Branded Real Hero of Nepal 
2h
52",0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid02NwUHsiGXzvV7Z7sRBZPvhf1ehu9PKShbL7WaEQ5yTCzCW4nBLMCgxbVr1BM37nC6l, https://static.xx.fbcdn.net/images/emoji.php/v9/tc1/1/16/1f62e.png, https://www.facebook.com/photo/, https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/636867428_1469743397877679_4369638758737772205_n.jpg",38ad0251,2026-02-20T16:18:03.129492
Abhishek Dev Balen is Branded Real Hero of Nepal,,52 reactions; see who reacted to this,0,0,"https://static.xx.fbcdn.net/images/emoji.php/v9/t62/1/16/1f1f3_1f1f5.png, https://www.facebook.com/nebresultandnews0/posts/pfbid02NwUHsiGXzvV7Z7sRBZPvhf1ehu9PKShbL7WaEQ5yTCzCW4nBLMCgxbVr1BM37nC6l",326a6461,2026-02-20T16:18:03.161812
मनका धनी: TikToker Coolboyyy ले क!लेजोका बि!रामीलाई उपचारका लागि १ ला!ख रुपै!याँ सह!योग गरेका छन्। 65 Like Comment View more comments जनार्दन कुमार साउद We supported the right person through TikTok.,,See who reacted to this,"Top fan
जनार्दन कुमार साउद
We supported the right person through TikTok. 
3h
17",0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid02UZgWK5fM3BGxXhj5ksEf4yr8oBjtcmrMxctBg21wEa7QLjysF6eTs1wZj2tfwAyol, https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png, https://www.facebook.com/photo/, https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/638778564_1469721931213159_2491395115082310708_n.jpg",a4b21ebc,2026-02-20T16:18:03.262559
जनार्दन कुमार साउद We supported the right person through TikTok.,,17 reactions; see who reacted to this,0,0,"https://www.facebook.com/JanardanSaud16, https://static.xx.fbcdn.net/rsrc.php/v4/y9/r/Z-dbClQDXLv.png, https://www.facebook.com/JanardanSaud16, https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png, https://www.facebook.com/nebresultandnews0/posts/pfbid02UZgWK5fM3BGxXhj5ksEf4yr8oBjtcmrMxctBg21wEa7QLjysF6eTs1wZj2tfwAyol",71d54ee6,2026-02-20T16:18:03.302607
गरिबीलाइ रोकेन चुनाबले: गएको 7 महिनामा 4 लाख 72 हजार नेपालीले रोज’गारीका लागि नेपाल छोडेका छन। 127 25 Like Comment,,See who reacted to this,0,0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid0P8HSEztPLeEVHmBPhzC6X1Xxiz7cwDnXmq35tMmR9QasWif9eNRNP5PrkTN1KkyXl, https://static.xx.fbcdn.net/images/emoji.php/v9/t91/1/16/1f625.png, https://www.facebook.com/photo/, https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/639232913_1469663651218987_8779590274003162703_n.jpg",e7ee1a63,2026-02-20T16:18:03.378098
Kathmandu ma clz padhne kt lai pixa garera jiskaune ani hairan banaune ek jana 25 years old male lai police le arre'st gareko chha. 134 Like Comment,,See who reacted to this,0,0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid02hJ3v25nVuWY6VdADsQMiS6ppZz3puAWM2QSpPocmxkz9zKnvPG9GUXGKEcqGBTwMl, https://static.xx.fbcdn.net/images/emoji.php/v9/tc1/1/16/1f62e.png",b584f568,2026-02-20T16:18:03.439814
"आज शुक्रबार ! भगवान हनुमानको आशिर्वादले तपाईंको दिन शुभ रहोस् !
P… See more 211 28 Like Comment View more comments Bipana Thapa Magar Jayshree hanuman",,See who reacted to this,"Bipana Thapa Magar
Jayshree hanuman
7h
2",0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid0vFkCmWAX9QaukwuoWPzQr82iXmR9q1hDwRkBxoDWdwbxxVzX1A2SmhkqKuk7tYBDl, https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png, https://static.xx.fbcdn.net/images/emoji.php/v9/t7c/1/16/1f64f_1f3fc.png, https://www.facebook.com/photo/",c8b9f342,2026-02-20T16:18:03.551665
Bipana Thapa Magar Jayshree hanuman,,2 reactions; see who reacted to this,0,0,"https://www.facebook.com/bipana.thapa.magar.779801, https://www.facebook.com/bipana.thapa.magar.779801, https://static.xx.fbcdn.net/images/emoji.php/v9/t80/1/16/1f64f.png, https://www.facebook.com/nebresultandnews0/posts/pfbid0vFkCmWAX9QaukwuoWPzQr82iXmR9q1hDwRkBxoDWdwbxxVzX1A2SmhkqKuk7tYBDl",057a0c95,2026-02-20T16:18:03.594287
"बिहान उठ्ने बित्तिकै हिमाल देख्न पाइयोस्: Good Morning! We are from Kanchanjanga Himal, Nepal.
… See more 25 Like Comment",,See who reacted to this,0,0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid02GVKNPNYfQVPYKMbVvgyDLMS5aLtPutmZrAA8G7cMGAwb5m8CaCaT9dFi46AiKZbMl, https://static.xx.fbcdn.net/images/emoji.php/v9/t80/1/16/1f64f.png, https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png, https://www.facebook.com/photo/",bf018515,2026-02-20T16:18:03.683185
"ढिलो चाडो होला तर, सत्यको एकदिन जित हुन्छ।
#शुभरात्री #शुभरात्री 82 25 Like Comment View more comments Nitish Yadav Right man in right place",,See who reacted to this,"Nitish Yadav
Right man in right place 
18h",0,"https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0, https://www.facebook.com/nebresultandnews0/posts/pfbid0c83zMp4rx1AxSsYy42TJ8CSeu9nw57ysBfcxSe2uW7CNdJvzBXkvMLbLCvEfuwZcl, https://www.facebook.com/hashtag/%E0%A4%B6%E0%A5%81%E0%A4%AD%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80, https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png, https://static.xx.fbcdn.net/images/emoji.php/v9/t20/1/16/1f61c.png",ec0d10f0,2026-02-20T16:18:03.768692
