"Post Id","Feedback Id","Actors","Text","Html","Attachments","Subattachments","Comments","Likes","Shares","Video View Count","Page Url","Post Url","Publish Time","Scraped At"
"1314270160734877","ZmVlZGJhY2s6MTMxNDI3MDE2MDczNDg3Nw==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","भिरकोट, स्याङ्जाका ७८ वर्षीय रामप्रसाद खनाल र टीका कुमारी खनालले घर परिवारको उपस्थितिमा विवाहको ६० औं वार्षिकोत्सब मनाउनु भएको छ ।🙏❤️ #TogetherForever

Pic. Dr. Sukriti Acharya","भिरकोट, स्याङ्जाका ७८ वर्षीय रामप्रसाद खनाल र टीका कुमारी खनालले घर परिवारको उपस्थितिमा विवाहको ६० औं वार्षिकोत्सब मनाउनु भएको छ ।🙏❤️ #TogetherForever

Pic. Dr. Sukriti Acharya","https://scontent.fktm21-2.fna.fbcdn.net/v/t39.30808-6/639807333_1314270144068212_1315035407526151691_n.jpg?stp=cp6_dst-jpg_s565x565_tt6&_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=C-uht7z9MB0Q7kNvwHmP01u&_nc_oc=AdmrgcBunInAAqJt6Ts-TX5Ju7wLHaeBXqwOgogGvJCjmy312KUsQz3Ad_cwvoqtgbd81ZhH6aoeY-zzoNI4TrLm&_nc_zt=23&_nc_ht=scontent.fktm21-2.fna&_nc_gid=4g3nzUfYOAtHEqqo-0evsQ&oh=00_AfvG2k9m9DL9A9IDWwyjZNaqTohGGj4ma-NlG4VoV2tIfg&oe=699DFCB1","","14","1188","1","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid024E99ZbiHs1W2o4MFeL3ArBT75cSVT98brpm48RNvuewG8Lj4E4Xa996SHePqqsyFl","2026-02-20T09:39:42.000Z","2026-02-20T09:51:21.158Z"
"1314237550738138","ZmVlZGJhY2s6MTMxNDIzNzU1MDczODEzOA==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","प्रधानमन्त्री सुशीला कार्कीले मुक्तिनाथ मन्दिरको दर्शन गर्नु भएको छ! ❤️🕉️","प्रधानमन्त्री सुशीला कार्कीले मुक्तिनाथ मन्दिरको दर्शन गर्नु भएको छ! ❤️🕉️","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/638299087_1314238374071389_264058152758846800_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=DsKydU-mC2QQ7kNvwHMYMaZ&_nc_oc=AdkbY7-3p-JgPDzVINqL4_uWyJmKnC-SXbV7y4imImEQNcSmjL5WOK94kyPr__JOY_6bJXNKcX7q8Dalyv0QE8SY&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=4g3nzUfYOAtHEqqo-0evsQ&oh=00_AfsNAmSKMnP6XgLkn3WGBEBeDqHfa5DJ5hse-8fDWDGs1g&oe=699DF575","","135","11326","3","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid0VrvpXwaE7jUReWfwkHrShHWtgFoMEz7jHie75K2CH3iJMpMRHsvAHSkNo1wBW9Dol","2026-02-20T08:42:57.000Z","2026-02-20T09:51:21.158Z"
"1314197297408830","ZmVlZGJhY2s6MTMxNDE5NzI5NzQwODgzMA==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Amazing art of Lord Ganesh. ❤️🕉️

Photo. Razes Arts","Amazing art of Lord Ganesh. ❤️🕉️

Photo. Razes Arts","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/636858623_1314197284075498_1659690630257112157_n.jpg?stp=dst-jpg_s640x640_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=SN5JuQlfrqIQ7kNvwFMs7Up&_nc_oc=AdkaKVhxHj0fHwF6P6w_enGTJCnDYFxJQJimisrds4XkzPfZbC1IBJh2LzA6ePnv3IEFOeHrc3ruuh5aLffL31hU&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=4g3nzUfYOAtHEqqo-0evsQ&oh=00_Afu9N3tVf8MEoHlWkmBr9ewh4LMreO_rbqgN5c4z27hiLg&oe=699DFCBE","","86","8463","7","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid02NhpX2NvhxNjouC2VFqSCKnUJSud79JBvT48mbECmAqRsooTYTG1CLt7sK5oreSy5l","2026-02-20T07:31:22.000Z","2026-02-20T09:51:21.158Z"
"1314162787412281","ZmVlZGJhY2s6MTMxNDE2Mjc4NzQxMjI4MQ==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Dr. Nicholas Bhusal dressing the wo'und of inju""red GenZ youth Shantanu Dhakal. #News","Dr. Nicholas Bhusal dressing the wo'und of inju""red GenZ youth Shantanu Dhakal. #News","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/640059541_1314162760745617_7014208903358548912_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=Bl-JQmu10dIQ7kNvwFxJ0XK&_nc_oc=AdmXngzY0TtBvZ_FC7VlyfttG_-idVSYom_JcK9W95nXLuCVadSfLYN_9ShhcCIoYwX3rRzTqhQWRpqXB71dUlVe&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=fbxqI1vB8fR-LdU0wgwHFw&oh=00_AftstuqVhM-aljagkVhrLxM_Uu4hOW6JZCKypBLWMBJF9A&oe=699E0F55","","150","12131","30","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid07VBgfe4LJRaNeVLhKRRkk3VhMee5pFUViABHG6JrWUWx1aa3AMeAx5S8PZhh8TiXl","2026-02-20T06:25:28.000Z","2026-02-20T09:51:32.247Z"
"1314137390748154","ZmVlZGJhY2s6MTMxNDEzNzM5MDc0ODE1NA==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Nepali actress Niti Shah gets married with Yachnit Rana. ❤️ #Congrats","Nepali actress Niti Shah gets married with Yachnit Rana. ❤️ #Congrats","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/637185786_1314137377414822_3660021639214524870_n.jpg?stp=cp6_dst-jpg_s600x600_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=gbN2XOwZ-vAQ7kNvwEzxpPp&_nc_oc=AdkiiJhQADVVluqhLLx4_yOubUciDF0-O-Hxum9fdUqt2hIX9lgonr0Ks4ncSGr82Q6omCInOvNRh6Mm7pgOYVOj&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=fbxqI1vB8fR-LdU0wgwHFw&oh=00_AfspRyno6NvTJfD9blsZvSrkj4j6qyOpxmV_upBpCihhGw&oe=699DF513","","277","17049","9","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid0tdcAE3DtjRu4F85vK76fTfWuFmB2R4LCh7t7ESR4SBbMAzHUACtPh68oUCE8QLnxl","2026-02-20T05:40:19.000Z","2026-02-20T09:51:32.247Z"
"1314127317415828","ZmVlZGJhY2s6MTMxNDEyNzMxNzQxNTgyOA==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","सगरमाथालाई पहिलो पटक नजिकबाट देख्न पाउँदा भावुक हुँदै पर्यटक ।❤️

Pic. Captain Andy","सगरमाथालाई पहिलो पटक नजिकबाट देख्न पाउँदा भावुक हुँदै पर्यटक ।❤️

Pic. Captain Andy","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/638295265_1314127287415831_7973395926650643822_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=TK5ij55A2SUQ7kNvwEl-Ikc&_nc_oc=AdnAGbQCCHmjeuGeHzu2NUTBZHFcfVMI_8XQb0__VLL13okChseMPn9zfD37O3w99zhzjjFJFF4Ps5EZ3yDFRdQS&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=fbxqI1vB8fR-LdU0wgwHFw&oh=00_AftkGTOoXdsOYe9TTbv0EfEUqNTJ42Ob6ODjdlRgVJ277g&oe=699DEFC2","","135","24227","32","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid0341oJQEtVgfDWuUpUfW87Uqf1kHHZC5H73Fw22goEP4Jq6Fwr4dJ1mi2Bu16EpdJVl","2026-02-20T05:20:48.000Z","2026-02-20T09:51:32.247Z"
"1314093140752579","ZmVlZGJhY2s6MTMxNDA5MzE0MDc1MjU3OQ==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Young Inspiration: ढल्केबर, धनुषाका १९ वर्षीय कुशल घिमिरेले +२ मा Hotel Management पढ्दै होटलमा ४ महिना kitchen helper को रुपमा काम गरे अनि त्यो काम छोडेर bakery मा २ महिना delivery को काम गर्दै गर्दा chef ले बनाएको हेर्दै केक लगायतका परिकार पनि बनाउन सिके । त्यसपछि आफैं केहि गर्ने सोचेर उनी विगत केहि समय देखि आफ्नै घरको सानो कोठामा केकका परिकारहरु बनाउदै, customer को demand अनुसार surprise पनि दिदै दैनिक राम्रो आम्दानी गर्दै आइरहेका छन् । बिहान कलेज पढ्न जाने र दिउँसोको खाली समयमा घरमै bakery को काम गर्ने उनी भन्छन्, ""सानो कुराबाट सुरुवात गरेर पनि सफलता हासिल गर्न सकिन्छ ।"" ❤️

Pic & Story: @roshangautam7409","Young Inspiration: ढल्केबर, धनुषाका १९ वर्षीय कुशल घिमिरेले +२ मा Hotel Management पढ्दै होटलमा ४ महिना kitchen helper को रुपमा काम गरे अनि त्यो काम छोडेर bakery मा २ महिना delivery को काम गर्दै गर्दा chef ले बनाएको हेर्दै केक लगायतका परिकार पनि बनाउन सिके । त्यसपछि आफैं केहि गर्ने सोचेर उनी विगत केहि समय देखि आफ्नै घरको सानो कोठामा केकका परिकारहरु बनाउदै, customer को demand अनुसार surprise पनि दिदै दैनिक राम्रो आम्दानी गर्दै आइरहेका छन् । बिहान कलेज पढ्न जाने र दिउँसोको खाली समयमा घरमै bakery को काम गर्ने उनी भन्छन्, ""सानो कुराबाट सुरुवात गरेर पनि सफलता हासिल गर्न सकिन्छ ।"" ❤️

Pic & Story: @roshangautam7409","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/638309224_1314093114085915_4546059875319337065_n.jpg?stp=cp6_dst-jpg_s640x640_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=NoTxZHgLoVgQ7kNvwGPI8dD&_nc_oc=Adkh6CGQD7EeIMc_YZcwv9fnCV4LucD7JyzcyltTMRjUUApZV9CCn-TKKPFd2udVgp7xWQ4yhVnjkWeULXJtqT66&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=8ALXWh03rPBitejFoI9Vig&oh=00_Aft0S1ULVFGqLS1MktuaFnxdu3X5xSiLZp7SGWfvoawZTQ&oe=699DEB0C","","117","3820","22","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid0297m49AQ6gEykooh4QXdz7w4b4DLuCBZ7mWURTY1T7sNR9VQyQYxXqgjZHNSt7PNyl","2026-02-20T04:22:00.000Z","2026-02-20T09:51:42.627Z"
"1314075320754361","ZmVlZGJhY2s6MTMxNDA3NTMyMDc1NDM2MQ==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Interesting: Leader Madhav Kumar Nepal as seen joining Tiktok LIVE & discussing about the election. 😮","Interesting: Leader Madhav Kumar Nepal as seen joining Tiktok LIVE & discussing about the election. 😮","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/637436762_1314075297421030_6566593792016864262_n.jpg?stp=dst-jpg_p180x540_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=lbjE2K6W29kQ7kNvwGobsS-&_nc_oc=AdmFB3iZyst6S0ZNtLkf2iVIngcWqwfzEEazkEmx-gpw1XeEi5KZfZhVt04lRS7w6cAzxBZNtrghmcDZ9fJrwWix&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=8ALXWh03rPBitejFoI9Vig&oh=00_AfsNf1G2sjdq-G2evQwFlP88TuXJyRhwDaZ6BrMT6pPgNQ&oe=699DE698","","586","15897","23","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid0XQ9rHXC6be6XU6NhH5Je4KCoUpGWNQpLgNT6VQ3UZ3Dw6SZmRBwwnGVJCoJY9KTwl","2026-02-20T03:52:36.000Z","2026-02-20T09:51:42.627Z"
"1314053750756518","ZmVlZGJhY2s6MTMxNDA1Mzc1MDc1NjUxOA==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Good News for TikTok Lovers: TikTok maa Election related awareness video banayera social media maa upload garne top 3 highest viewers Creator haru lai Election Commission le reward garne vayeko chha. 😮

Details in comment.","Good News for TikTok Lovers: TikTok maa Election related awareness video banayera social media maa upload garne top 3 highest viewers Creator haru lai Election Commission le reward garne vayeko chha. 😮

Details in comment.","","","365","9920","11","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid02nDxqduKaDdA65QtxhMU5swNJXHmAEpKiVpFRJD36yqmWVMNzZnLPTaofEAUVeErhl","2026-02-20T03:17:32.000Z","2026-02-20T09:51:42.627Z"
"1314040194091207","ZmVlZGJhY2s6MTMxNDA0MDE5NDA5MTIwNw==","id: 100064557167145
name: Routine of Nepal banda
url: https://www.facebook.com/officialroutineofnepalbanda","Harka Sampang says ""आउनुन बालेन दाई आउनु सम्हाल्दिनु देश भन्दाखेरि कहाँ गयो, गयो है । महिनौं, महिनौं लुकेर बसेर हिजोआज चाहिँ प्रधानमन्त्री बन्छु भनेर चाहिँ नि एक हजार पुलिससँग हिडेको देख्छु । मैले बारम्बार भनेको छु, अहिलेको गृहमन्त्री र अहिलेको IGP को स्पष्टीकरण लिन्छ श्रम संस्कृति पार्टीले है । भयभरको पुलिस चाहिँ बालेनको अघिपछि किन पठाको ? हामी पनि त उमेदवार हो । खोई त हाम्रो त छैन त्यस्तो security.""","Harka Sampang says ""आउनुन बालेन दाई आउनु सम्हाल्दिनु देश भन्दाखेरि कहाँ गयो, गयो है । महिनौं, महिनौं लुकेर बसेर हिजोआज चाहिँ प्रधानमन्त्री बन्छु भनेर चाहिँ नि एक हजार पुलिससँग हिडेको देख्छु । मैले बारम्बार भनेको छु, अहिलेको गृहमन्त्री र अहिलेको IGP को स्पष्टीकरण लिन्छ श्रम संस्कृति पार्टीले है । भयभरको पुलिस चाहिँ बालेनको अघिपछि किन पठाको ? हामी पनि त उमेदवार हो । खोई त हाम्रो त छैन त्यस्तो security.""","https://scontent.fktm21-1.fna.fbcdn.net/v/t39.30808-6/635563918_1314040167424543_3575323494685438112_n.jpg?stp=cp6_dst-jpg_p526x296_tt6&_nc_cat=1&ccb=1-7&_nc_sid=7b2446&_nc_ohc=-vnugwNwB4kQ7kNvwE_i6iW&_nc_oc=AdkRUaX9DEQGVPKWg2CVGvmsR2zLP6hYcrfoseSAGk7PFpdBFrqAmhr0wNq1yXS4KWxOiZWJAo_YtZ5Q8Ce0lWOf&_nc_zt=23&_nc_ht=scontent.fktm21-1.fna&_nc_gid=Yeuz6RTPFBwYmUbX8dDlEQ&oh=00_AfsTh9YbQINakKJ3X-lmgrw6tyw4WnfiZQSTblmegy2eug&oe=699DECC9","","3123","28094","58","0","https://www.facebook.com/officialroutineofnepalbanda","https://www.facebook.com/officialroutineofnepalbanda/posts/pfbid02Yhj59nD5SJ1mCp3XH1U8DGNXYPwupmoZJQdjhJgqacaYQ5FtVEQJXEdMCnUeCNpxl","2026-02-20T02:56:24.000Z","2026-02-20T09:51:54.401Z"
